,Epochs,% CAC,TPE,% TPE,TPE2,% TPE2,TPA,NPA,R_HMND
1,Epoch_3518-3601,96.95121951219512,328,31.297709923664126,459,43.79770992366412,1048,,62650.89000000001
2,Epoch_3602-3685,97.17223650385604,389,35.171790235081374,524,47.377938517179025,1106,105.0,76023.35999999999
3,Epoch_3686-3769,80.16528925619835,484,37.8716744913928,625,48.90453834115806,1278,51.0,98421.72
4,Epoch_3770-3853,68.99641577060932,558,39.63068181818182,727,51.63352272727273,1408,55.0,109336.43
5,Epoch_3854-3937,56.60919540229885,696,46.461949265687586,882,58.87850467289719,1498,50.0,121154.85999999999
